行业名,别名
在线教育,"E-learning,教育科技,EdTech,Educational Technology,远程学习,Distance Learning,虚拟学习,Virtual Learning,数字化学习,Digital Learning,在线课程,Online Courses,远程教育,Remote Education,网络培训,Web-based Training,网课,网络教学,线上培训,在线教育,Online Education"
大数据/云计算,"大数据,大数据分析,Big Data Analytics,数据科学与分析,Data Science & Analytics,数据挖掘,Data Mining,大规模数据处理,Large-scale Data Processing,海量数据,云计算,云服务,Cloud Services,云基础设施,Cloud Infrastructure,云平台,Cloud Platforms,IaaS,PaaS,SaaS,数据云服务,海量数据处理,云端计算,大数据/云计算,Big Data/Cloud Computing"
物联网,"IoT,工业物联网,IIoT,Industrial Internet of Things,机器对机器通信,M2M,Machine-to-Machine,智能设备Smart Devices,嵌入式智能,Embedded Intelligence,万物互联,智能物联,IOT技术,物联网,Internet of Things"
新零售,"智能零售,Intelligent Retail,零售科技,Retail Tech,技术赋能零售,Tech-Enabled Retail,无缝零售,Seamless Retail,全渠道零售,Omnichannel Retail,数字化零售,Digitally-Transformed Retail,智慧零售,Smart Retail,融合零售,线上线下一体化零售,新零售,New Retail"
网络/信息安全,"网络安全,Cybersecurity,信息安全,Infosec,Information Security,IT安全,IT Security,数据安全,Data Security,Network Security,数据保护,Data Protection,网络防御,Cyber Defense,信息安保,安防,智能安全,信息保障,网络防护,网络/信息安全,Network/Information Security"
区块链,"分布式账本技术,DLT,Distributed Ledger Technology,去中心化系统Decentralized Systems,智能合约平台Smart Contracts Platforms,数字账本技术,Digital Ledger Technology,链技术,链上技术,加密货币技术,区块链,Blockchain Industry"
投资/融资/证券/期货/基金,"金融,风投,创业投资,投资,融资,证券,期货,基金,消费金融,投行,汽车金融,金融投资,证券交易,融资服务,投资/融资/证券/期货/基金,Investment/Financing/Securities/Futures/Funds"
保险,"保险,金融(保险),保险业务,保险业,保险服务,保险,Insurance"
银行,"银行,银行业务,金融银行,商业银行,银行,Banking"
信托/担保/拍卖/典当,"信托,担保,拍卖,典当,信托业务,担保服务,拍卖典当,信托/担保/拍卖/典当,Trust/Guarantee/Auction/Pawn broking"
互联网金融,"金融,科技金融,网络金融,线上金融,数字金融,互联网金融,Internet Finance"
财富管理,"资产管理,资产管理,理财服务,私人银行,财富管理,Wealth Management"
融资租赁/保理,"租赁,融资租赁,保理,租赁融资,保理业务,租赁服务,融资租赁/保理,Leasing/Financial Leasing/Factoring"
其他金融业,"金融监管机构,第三方金融服务,第三方财富管理,第三方支付,小额贷款,金融信息咨询,金融信息服务,非传统金融,小众金融,特色金融,其他金融业,Other Financial Industries"
贸易/进出口,"贸易,外贸,跨境电商,B2C出口,跨境电贸,加工贸易,大宗贸易,资源型贸易,进出口,国际贸易,外贸业务,进出口业务,贸易/进出口,Import/Export & Trading"
服装/纺织/皮革,"男装,女装,童装,内衣服饰,体育服饰,运动服饰装备,制鞋业,服装批发,鞋帽批发,箱包批发,服装零售,箱包零售,鞋帽零售,服装制造,成衣加工,面料织造,纺织原料,皮革制品,皮具,真皮制品,功能性服饰,特种服装,纺织服装业,皮革制品业,服饰行业,服装/纺织/皮革,Clothing/Textile/Leather"
批发/零售,"批发,零售,消费,营运,连锁,医药批发零售,医药流通,流通业,综合批发,B2B供应链,大宗商品分销,便利店,商品批发,商品零售,贸易批发零售,批发/零售,Wholesale/Retail"
奢侈品/收藏品/工艺品/珠宝,"奢侈品,收藏品,工艺品,珠宝,首饰,消费,营运,礼品,玩具,工艺美术,美术品,名表,手工艺品,非遗工艺,高端商品,艺术收藏品,珠宝首饰业,奢侈品/收藏品/工艺品/珠宝,Luxury/Collectibles/Handicrafts/Jewelry"
日化用品,"个护清洁,化妆品行业,家居清洁,洗护用品,家清产品,美妆护肤,彩妆,香氛,香料,香水,芳香剂,肥皂,清洁剂,洗涤剂,洗发护发,皮肤清洁,护肤品,牙膏,口腔护理品,香精,日用化学品,个人护理用品,日化用品,Daily Chemical Products"
办公用品/设备,"办公用品,办公设备,文教办公用品,办公家具,文具耗材,学生文具,办公耗材,OA设备,办公器械,办公器材,文具用品,办公装备,办公用品/设备,Office Supplies/Equipment"
家具/家居,"家具行业,家纺用品行业,家居行业,全屋定制,智能家居,厨卫用品,厨房炊具,卫浴洁具,家用家具,家具饰品,软装饰品,家具家纺,全屋智能,户外家具,庭院家具,家居用品,家具家装,家用饰品,家具/家居,Furniture/Home Furnishings"
家用电器,"家电,冰箱,冷柜,酒柜,电视机行业,空调行业,新风,空气净化器,厨卫电器,厨房家电,灯具,照明电器,洗衣机行业,健康家电,个护电器,生活电器,厨房小电,小家电,娱乐电器,黑色家电,洗衣机,空调,电视,音响,游戏机,家电产品,家用电气设备,家庭电器,家用电器,Household Appliances"
食品/饮料/烟酒,"食品饮料,生鲜食品行业,方便食品,速食品行业,面包糕点烘焙,乳制品行业,粮油行业,调味品行业,制糖业,烟酒,啤酒,白酒,其他酒业,酒类,酒精饮品,休闲食品,零食,快消食品,软饮,非酒精饮品,烟草制品,烟草,食品饮品,烟酒销售,食品/饮料/烟酒,Food/Beverage/Tobacco/Alcohol"
其他消费品,"母婴用品,婴童产品,运动户外,体育器材,电子烟,新型烟草,宠物用品,宠物消费,非必需品消费,小众消费品,特色消费品,其他消费品,Other Consumer Goods"
制药/生物工程,"制药,医药制造业,化学药品制造,中成药制造,兽用药品制造,生物工程制药,生物技术,医疗医药科研,基因工程,医药外包,医药研发外包,医药生产外包,生物医药,制药研发,生物制药,制药/生物工程,Pharmaceuticals/Biotechnology"
医疗设备/器械,"医疗器械制造,医疗器械批发,医疗器械零售,医疗设备,IVD,医疗器械,医疗装备,医疗设备/器械,Medical Devices/Equipment"
护理/卫生,"护理,卫生,卫生服务,医护服务,卫生护理,健康护理,护理/卫生,Nursing/Hygiene"
医疗服务,"综合医院,专科医院,中医医院,中西医结合医院,民营医院,社区医疗,卫生院,诊所,门诊部,妇幼保健院,疾病预防控制中心,康复中心,疗养院,医美,健康服务,医疗检测,健康体检,第三方医学检验,医疗医药科研,基因工程,医药外包,医疗保健,医院服务,诊疗服务,医药零售,药店,医疗服务,Medical Services"
广告/营销,"推广,广告,会展,公关,4A广告公司,广告创意,广告设计,广告装饰,物料制作,市场营销,广告推广,品牌营销,广告/营销,Advertising/Marketing"
公关/市场推广/会展,"公关,市场推广,会展,推广,会议展览服务,公关活动,市场促销,展会服务,公关/市场推广/会展,Public Relations/Promotions/Events"
影视/媒体/艺术/广播,"广播,广播电视媒体,影视制作,影视发行,录音,艺术,文化传播,媒体,影视,文化传播,文字媒体,新闻咨询,网媒,新媒体,自媒体,自由撰稿人,演出,演艺,经纪,广播影视,影视/媒体/艺术/广播,Film & Television/Media/Arts/Broadcasting"
文字媒体/出版,"图文快印,打印,复印服务,造纸,图书出版,图书发行,印刷,包装,出版业,报刊媒体,文字出版,文字出版,报纸,杂志媒体,文字媒体/出版,Print Media/Publishing"
体育,"体育产业,健身服务,体育培训,赛事运营,电竞,体育赛事,健身教练,体育教育,运动产业,体育服务,体育,Sports"
文化艺术/娱乐,"音乐产业,文创产品,文化IP,演出行业,演艺行业,经纪行业,公共文化场馆,演艺设备销售,演艺设备租赁,文艺娱乐,文化产业,艺术表演,文化艺术/娱乐,Culture & Arts/Entertainment"
房地产,"房地产,房地产开发经营,房地产营销策划,土地与公共设施管理,地产行业,不动产行业,房产领域,房地产,Real Estate"
物业管理/商业中心,"物业管理,商业中心,物业管理,商业管理,物业运营,商业地产管理,商场管理,物业管理/商业中心,Property Management"
建筑/建材/工程,"建材批发,建材零售,建筑材料制造,水泥制造,混凝土生产,玻璃制造,陶瓷制造,建筑工程咨询服务,工程施工,工程管理,工程勘察,工程监理,建筑工程检测,建筑设备安装,建筑安装,房屋建筑工程,钢结构行业,铁路建设,公路建设,桥梁隧道建设,水利建设,内河港口建设,海洋工程建筑,工矿工程建筑,机电工程,土地与公共设施管理,工程设计,建筑设计,园林绿化,园林建设,架线工程建筑,管道工程建筑,土木工程,建筑施工,建材行业,建筑/建材/工程,Construction/Building Materials/Engineering"
装修装饰,"建筑,家居,室内设计,装潢,装饰装修,家装行业,室内装修,装潢设计,装修装饰,Interior Design & Renovation"
房地产租赁/中介,"房产中介,房屋租赁,地产经纪,租售中介,房产租赁代理,二手房中介,商业地产租赁,长租公寓,租赁中介,房地产租赁/中介,Real Estate Leasing/Agency"
财务/审计/税务,"财务,审计,税务,财税服务,财务审计,税务筹划,财务/审计/税务,Finance/Audit/Taxation"
中介服务,"中介,留学中介,移民中介,中间服务,经纪服务,代理服务,中介服务,Agency Services"
人力资源,"猎头行业,外包,劳务派遣,外包服务,人事服务,人才服务,人力管理,人力资源服务,Human Resources Services,人力资源"
检测/认证/知识产权,"评估服务,专业服务,检测,认证,检验,专利,商标,知识产权,质量检测,检测/认证/知识产权,Testing/Certification/Intellectual Property"
法律,"法律事务,法律咨询,律师服务,法律,Law"
其他专业服务,"办公服务,征信服务,信用服务,企业培训服务,商业代理服务,市场调研服务,营销策划服务,技术与工程服务,专业技术服务,科技推广服务,工程技术与设计服务,安保服务,非特定专业服务,专业杂项服务,特殊专业服务,其他专业服务,Other Professional Services"
咨询,"企业管理,战略咨询公司,工程项目管理,工程项目咨询,科研咨询,技术咨询,IT咨询公司,商务信息咨询,商务信息代理,专业咨询,商务咨询,顾问服务,咨询,Consulting"
翻译,"笔译,口译,视听翻译,字幕翻译,配音,同声传译,分交替传译,翻译,Translation Services"
客运/货运/物流/仓储,"公路物流,跨境物流,物流,货运,公路货物运输,仓储,仓储服务,仓储管理,装卸搬运,吊装,客运,货运,供应链,供应链管理,同城货运,公路货物运输,货运代理,报关,管道运输,客票代理,货物运输,旅客运输,物流仓储,客运/货运/物流/仓储,Passenger/Freight Logistics/Warehousing"
港口/铁路/公路/机场,"地铁,轻轨,交通枢纽,物流节点,运输场站,铁路,航空,水路运输,民航,水路客运,港口/铁路/公路/机场,Ports/Railways/Highways/Airports"
邮政/快递/即时配送,"即时配送,快递,配送行业,快递服务,邮政业务,即时送达,邮政/快递/即时配送,Postal/Express/Instant Delivery"
路政,"高速公路运营管理,交通规划设计,道路管理,公路维护,交通路政,路政,Road Administration"
餐饮业,"餐饮,酒店,及时配送,送餐,F&B Industry,食品服务业,Food Service Industry,快餐,Fast Food,外卖,Food Delivery,团膳,Group Catering,咖啡茶饮,Cafe & Beverage,餐饮供应链,F&B Supply Chain,餐饮服务,饮食行业,饭店业,餐饮业,Food and Beverage"
酒店/旅游,"酒店,旅游,酒店服务,度假,景区,民宿,B&Bs,旅行社,Travel Agencies,景区管理,Scenic Spot Management,商旅服务,Business Travel,住宿接待业,Hospitality Industry,文旅产业,Cultural Tourism,旅店业,旅游业,酒店/旅游,Hotel/Travel"
娱乐/休闲,"室内娱乐,运动,健身服务,游乐服务,主题乐园,Theme Parks,电影院线,Cinemas,KTV娱乐,KTV Entertainment,健身俱乐部,Fitness Clubs,电竞,E-sports,文娱体产业,Recreation Industry,体验经济,Experience Economy,文体娱乐,休闲产业,运动行业,娱乐/休闲,Entertainment/Leisure"
美容/保健/美发/美甲,"按摩,养生服务,美容,保健,美发,美甲,生活美容,Salon Services,养生会所,Wellness Spas,美睫,Lash Art,健康管理,Health Management,美妆,保健养生,美容/保健/美发/美甲,Beauty/Health/Hairdressing/Nail Art"
生活服务,"居民服务,家政服务,搬家,搬运服务,洗衣,剪裁,皮革护理,洗浴服务,物业,出租车行业,互联网用车,代驾服务,日常服务,民生服务,生活服务,Life Services"
家政服务,"保洁,月嫂,育婴,钟点工,家庭照料服务,母婴护理,烹饪与营养服务,维护与保养服务,其他新兴服务,家庭服务,家务服务,保姆服务,家政服务,Home Service"
回收/维修,"废品回收,电子回收,家电维修,电梯维修,水电维修,物业维修,电子设备维修,设备维修,回收/维修,Recycling & Repair Services"
婚庆/摄影,"婚礼策划,婚宴管理,婚纱摄影,旅拍,摄影,礼服租赁,化妆造型,婚车租赁,婚礼服务,庆典服务,婚庆/摄影,Wedding/Photography Services"
宠物服务,"宠物诊疗,宠物酒店,宠物寄养,宠物训练,宠物SPA,宠物美容,宠物殡葬,宠物护理,宠物医疗,宠物服务,Pet Services"
其他服务业,"殡葬服务,保安,停车场服务,亲子服务,托儿服务,养老服务,驾校,陪练行业,租赁,开锁换锁,消杀除虫,空气治理,垃圾分类清运,代跑腿服务,同城急送,收纳整理,其他服务业,Other Services"
石油/化工/矿产/地质,"石油,石化,煤炭行业,煤电,火力发电,煤炭,燃料加工,铁矿,黑色金属矿产,有色金属矿产,石材,非金属矿产,钢铁,石化行业,矿产资源,地质勘探,石油/化工/矿产/地质,Petroleum/Chemicals/Minerals/Geology"
采掘/冶炼,"能源,采掘业,冶炼,矿产,采掘,钢铁,冶金行业,有色金属,合金行业,金属铸造,金属压延加工,贵金属冶炼,其他冶金行业,采矿行业,金属冶炼,矿石开采,采掘/冶炼,Mining/Smelting"
新能源,"新能源产业,新能源发电,光伏,太阳能产业,风力发电,风能产业,地热能行业,生物能源行业,储能,电池行业,动力电池,绿色能源,可再生能源,清洁能源,新能源,New Energy"
电力/热力/燃气/水利,"天然气,燃气行业,发电厂,电力生产,电网,输配电,电力电气设备制造,电力建设,电气安装,电力研究,电力设计,水力发电,水利建设,供水,水务行业,能源供应,水电煤气,电气热力,电力/热力/燃气/水利,Electric/Heat/Gas/Water Conservancy"
原材料和加工,"原材料加工,原材料,加工,加工制造,材料加工,原料处理,基础材料制造,原材料和加工,Raw Material Processing"
政府/公共事业,"政府,公共事业,中国共产党机关,国务院,地方各级政府,各部委及下属厅,各部委及下属局,人民政协,民主党派,公安机关,派出所,法院,检察院,居委会,村委会,街道办事处,事业单位,社会保障,养老机构,孤儿机构,看护机构,公共服务,政府部门,政务服务,政府/公共事业,Government/Public Utilities"
非营利机构,"社会团体,社会组织,共青团,工会,基金会,公益组织,非营利机构,宗教组织,非营利,非盈利,国际机构,国际组织,慈善组织,公益机构,非盈利团体,非营利机构,Non-Profit Organizations"
环保,"环保治理,环境监测,公共环保,环境保护,生态保护,绿色事业,环保,Environmental Protection"
农/林/牧/渔,"农业,林业,牧业,渔业,农林牧渔,农业生产,林业产业,畜牧养殖,渔业捕捞,农/林/牧/渔,Agriculture/Forestry/Livestock/Fishery"
多元化业务集团公司,"多元化,跨领域,跨领域经营,多元,综合企业,集团企业,跨行业公司,多元化业务集团公司,Diversified Business Group Companies"
机械/设备/重工,"通用机械设备,专用机械设备,电器机械,通用机械设备制造,锅炉制造,发动机制造,发电机制造,金属加工机械制造,起重设备制造,搬运设备制造,电梯设备制造,泵制造,阀门制造,压缩机机械制造,轴承制造,齿轮制造,传动部件制造,烘炉制造,风机制造,衡器制造,包装设备制造,文化用品机械制造,办公用品机械制造,通用零部件制造,其他通用设备制造业,机械修理,机械维修,专用机械设备制造,采矿设备制造,冶金设备制造,建筑专用设备制造,化工加工专用设备制造,木材加工专用设备制造,非金属加工专用设备制造,食品生产专用设备制造,饮料生产专用设备制造,烟草及饲料生产专用设备制造,印刷专用社别制造,制药专用设备制造,日化及日用品生产专用设备制造,纺织加工专用设备制造,服装加工专用设备制造,皮革加工专用设备制造,电子和电工机械专用设备制造,农林牧渔专用机械制造,医疗仪器设备及机械制造,环保专用设备制造,社会公共服务及其他专用设备制造,模具制造,电力电气设备制造,重型机械,装备制造业,工业设备,机械/设备/重工,Machinery/Equipment/Heavy"
印刷/包装/造纸,"印刷,包装,造纸,媒体,印刷/包装/造纸,Printing/Packaging/Paper Manufacturing"
橡胶/塑料制品,"橡胶,塑料制品,橡塑行业,塑料加工,橡胶制品,橡胶/塑料制品,Rubber/Plastic Products"
金属/非金属制品,"金属,金属修理,五金制品业,冶金,非金属与建筑材料,钢铁行业,有色金属,合金行业,金属铸造,金属压延加工,贵金属冶炼,其他冶金行业,非金属矿物制品,建筑材料制造,水泥制造,混凝土生产,玻璃制造,陶瓷制造,造纸与纸制品业,印刷包装行业,木材加工,金属加工,非金属产品,材料制品,金属/非金属制品,Metal/Non-Metal Products"
新材料,"新型材料,先进材料,高分子材料,复合材料,金属材料,纳米材料,石墨烯,碳纤维,生物材料,新能源材料,新材料,New Materials"
化工原料/化学制品,"化工原料,化工材料,化工制品,化工原材料制造,化肥制造,专用化学产品制造,炸药制造,火工制造,焰火制造,日用化学产品制造,其他化学原料制品,化学纤维制造业,日化产品制造,石油化工行业,燃料资源加工制造,化工产业,化学原料生产,化学品制造,化工原料/化学制品,Chemical Raw Materials/Chemicals"
仪器仪表,"仪器设备,测控仪表,分析仪器,工业仪表,医疗仪表,自动化仪表,检测仪器,智能仪表,仪表设备,计量仪器,仪器仪表,Instruments & Meters"
自动化设备,"工业自动化,智能自动化,自动控制设备,自动化设备,Automation Equipment"
铁路/船舶/航空/航天制造,"铁路研究与制造,船舶研究与制造,航空研究与制造,航天研究与制造,国防军工,铁路设备制造,造船业,航空航天制造,航空航天制造,船舶建造,铁路装备制造,铁路/船舶/航空/航天制造,Railway/Ship/Aerospace Manufacturing"
其他制造业,"摩托车制造,自行车制造,FMCG,食品饮料,护理产品,烟草,啤酒酿造,白酒酿造,其他酒类,文体设备制造,办公设备制造,家电,消费电子,厨房电器,珠宝首饰,运动器材,乐器,机器人,农副产品加工制造,纺织业加工制造,服饰加工制造,家纺用品行业,化纤行业,非传统制造,小众制造,特色制造,其他制造业,Other Manufacturing Industries"
通信/电信运营/增值服务,"电信运营,增值服务,通信,电信,信息技术,电信运营商,宽带运营商,5G服务,电信服务,移动增值业务,通信增值服务,通信/电信运营/增值服务,Telecom Operators/Value-Added Services"
通信/电信/网络设备,"电信,网络设备,通信,信息技术,广电基础设施,通信基础设施,5G技术,计算机设备,通信设备,其他电子设备,通信设备制造,广播电视设备制造,视听影音设备制造,其他TMT制造,广电网络,广电设备,通信工程与系统集成,通信工程设计,通信工程施工,通信设施,电信装备,网络硬件,通信/电信/网络设备,Communications/Telecom/Network Equipment"
电子技术/半导体/集成电路,"电子技术,半导体,集成电路,电子,电子开发,硬件开发,电子元器件生产,半导体材料制造,芯片,电子组装,电子制造,电子代工,精密元器件,其他电子,其他半导体,芯片制造,微电子技术,IC设计,电子技术/半导体/集成电路,Electronics/Semiconductors/Integrated Circuits"
智能硬件/消费电子,"手机研发,手机制造,手机终端制造,通信终端制造,电话,对讲机,卫星电话,其他通信终端,家用电器行业,数码产品,影音产品,智能硬件,电脑生产制造,电脑配件生产制造,智能家居,智能家居设备,可穿戴设备,电子消费品,智能硬件/消费电子,Smart Hardware/Consumer Electronics"
光电子,"光纤行业,光通信行业,液晶显示行业,光电显示行业,LED行业,OLED行业,光学行业,光伏产业,太阳能产业,光存储行业,激光行业,红外行业,光电技术,光子技术,光电器件,光电子,Optoelectronics"
新能源汽车,"电动车,新能源车,电动汽车,新能源整车,三电系统,充电桩,纯电动车,混动汽车,燃料电池车,新能源汽车制造,新能源汽车,New Energy Vehicles"
汽车智能网联,"智能汽车,车联网,自动驾驶,ADAS,智能网联,车联网汽车,自动驾驶汽车,智能驾驶,车载系统,车路协同,汽车智能网联,Intelligent Connected Vehicles"
汽车交易/后市场,"汽车4S店,汽车经销商,汽车交易,汽车经销商,汽车后市场,汽车租赁,汽车修理,汽车买卖,汽车售后,二手车市场,汽车交易/后市场,Automotive Trading/Aftermarket"
汽车研发/制造,"汽车制造,整车研发,汽车研发,汽车工程,汽车生产,乘用车制造,商用车制造,汽车研发制造,整车制造,汽车工业,汽车研发/制造,Automotive R&D/Manufacturing"
汽车零部件及配件,"汽车,汽车零配件,汽车经销,摩托车,加工制造,汽车生产制造,汽配行业,汽车配件,零部件制造,汽车零部件及配件,Automotive Parts & Accessories"
培训/辅导机构,"k12教育培训,k12辅导,资格认证培训,外语培训机构,艺术培训机构,体育培训机构,兴趣辅导机构,教材辅导资料,职业培训,管理培训,教育培训,课外辅导,学习培训机构,培训/辅导机构,Training/Tutoring Institutions"
学术/科研,"科研机构,科研成果转化,学术,科研,科研工作,学术研究,科学探索,科学技术推广,学术/科研,Academic/Scientific Research"
职业培训,"驾校,陪练行业,技能培训,在职培训,专业培训,职业培训,Vocational Training"
学校/学历教育,"幼儿园,早教机构,学前教育,小学,初中,高中,大学,公办高校,民办高校,职业学校,中专,技校,成人学历教育机构,特殊教育学校,特殊教育机构,国际学校,MBA,商学院,全日制教育,学历学校,正规教育,学校/学历教育,K-12 & Higher Education"
